model,id,group,state,expected,order_index,order,choice,correct,probabilities,elapsed_ms,tokens
laya,C01,clear,The receipt lists two payments for my single subscription renewal. Please reverse the extra one.,billing,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,True,"{""billing"": 0.878, ""technical"": 0.0303, ""sales"": 0.0446, ""clarify"": 0.0471}",551.8452000105754,244
laya,C02,clear,Could you email me an invoice showing the company address and our tax number?,billing,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,True,"{""billing"": 0.9424, ""technical"": 0.0174, ""sales"": 0.0198, ""clarify"": 0.0203}",545.8161869319156,242
laya,C03,clear,Please cancel the auto-renewal of my current membership.,billing,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,True,"{""billing"": 0.6097, ""technical"": 0.1576, ""sales"": 0.1323, ""clarify"": 0.1005}",537.5139459501952,239
laya,C04,clear,The desktop program closes immediately whenever I open a saved project.,technical,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",technical,True,"{""billing"": 0.2069, ""technical"": 0.6473, ""sales"": 0.0692, ""clarify"": 0.0766}",541.9836710207164,239
laya,C05,clear,The password reset link expires before I can sign into my account.,technical,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",technical,True,"{""billing"": 0.2412, ""technical"": 0.6236, ""sales"": 0.0703, ""clarify"": 0.0648}",526.5832410659641,240
laya,C06,clear,Every export produces an empty file even though the editor shows my work.,technical,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,False,"{""billing"": 0.4109, ""technical"": 0.3713, ""sales"": 0.1067, ""clarify"": 0.1112}",539.7484280401841,241
laya,C07,clear,We are considering buying sixty seats. Can you provide a price quote?,sales,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",sales,True,"{""billing"": 0.2172, ""technical"": 0.0738, ""sales"": 0.6358, ""clarify"": 0.0732}",547.0149539178237,241
laya,C08,clear,Is there an annual plan and what would it cost a team of eight?,sales,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,False,"{""billing"": 0.4904, ""technical"": 0.1187, ""sales"": 0.2323, ""clarify"": 0.1587}",558.9550769655034,242
laya,C09,clear,I want to purchase the enterprise edition for my business. Who can arrange that?,sales,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,False,"{""billing"": 0.5291, ""technical"": 0.0708, ""sales"": 0.3557, ""clarify"": 0.0444}",562.719548936002,243
laya,C10,clear,My card was charged after I cancelled. I need the payment returned.,billing,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,True,"{""billing"": 0.9572, ""technical"": 0.0154, ""sales"": 0.0136, ""clarify"": 0.0138}",528.3189219189808,241
laya,A01,ambiguous,Can someone help me with my account?,clarify,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,False,"{""billing"": 0.613, ""technical"": 0.1617, ""sales"": 0.1221, ""clarify"": 0.1033}",512.5540889566764,235
laya,A02,ambiguous,Something is wrong. Please get back to me.,clarify,0,"[""billing"", ""technical"", ""sales"", ""clarify""]",billing,False,"{""billing"": 0.5097, ""technical"": 0.1506, ""sales"": 0.1243, ""clarify"": 0.2154}",512.2457368997857,237
